tti;sch_eligible_ue_count;sch_active_ue_count;dl_rb_allocated_count;dl_rb_per_ue_avg;dl_bits_per_rb_avg;dl_capacity_bits_sum_tti;dl_transmitted_bits_sum_tti;dl_throughput_sum_kbps;dl_cqi_wb_avg_idx;dl_sinr_avg;buffer_size_sum_bytes;sch_total_time_us;pdcch_cce_total_count;pdcch_cce_allocated_count;sch_priority_calc_time_us;sch_priority_sort_time_us;dl_prb_utilization_pct;sch_priority_list_size;sch_pdcch_blocked_count;sch_avg_priority_value;sch_eligible_to_active_ratio;sch_priority_min;sch_priority_max;sch_priority_std;dl_throughput_kbps_min;dl_throughput_kbps_max;dl_throughput_kbps_avg;dl_throughput_kbps_std;dl_cqi_wb_idx_min;dl_cqi_wb_idx_max;dl_cqi_wb_idx_avg;dl_cqi_wb_idx_std;dl_sinr_min;dl_sinr_max;dl_sinr_std;dl_rb_utilization_pct;dl_rb_wasted_count;dl_rb_idle_count;dl_spectral_efficiency_bps_hz;dl_spectral_efficiency_avg_ue;dl_spectral_efficiency_peak;dl_throughput_cv_pct;dl_cqi_cv_pct;dl_sinr_cv_pct;dl_rb_allocation_cv_pct;dl_spectral_efficiency_cv_pct;dl_fairness_jain_index;dl_throughput_variance;dl_throughput_std
48;3;3;50;16,67;235,86;23586;23586;23586,0;7,67;8,47;461479;807,3;25;14;13,8;26,1;100,0;3;0;2,0;100,0;1;3;0,82;2142,0;11400,0;7862,0;4082,36;3,0;11,0;8,0;3,0;-1,83;15,61;7,46;100,0;0;0;2,3586;0,7862;1,14;51,93;44,34;14,61;7,48;51,93;0,7876;16665656000000,0;4082359,12
49;3;3;50;16,67;250,56;25056;25056;25056,0;7,67;8,45;470195;860,3;25;14;12,4;24,2;100,0;3;0;2,0;100,0;1;3;0,82;1890,0;13680,0;8352,0;4879,58;3,0;11,0;8,0;3,0;-1,84;15,63;7,46;100,0;0;0;2,5056;0,8352;1,368;58,42;44,34;14,96;7,48;58,42;0,7455;23810328000000,0;4879582,77
50;3;3;50;16,67;235,58;23558;23558;23558,0;7,67;8,43;478471;617,6;25;14;13,8;24,5;100,0;3;0;2,0;100,0;1;3;0,82;2268,0;12920,0;7852,67;4364,02;3,0;11,0;8,0;3,0;-1,93;15,65;7,52;100,0;0;0;2,3558;0,7853;1,292;55,57;44,34;14,91;7,48;55,57;0,764;19044667555555,56;4364019,66
51;3;3;50;16,67;235,86;23586;23586;23586,0;7,67;8,5;487153;565,3;25;14;12,0;21,8;100,0;3;0;2,0;100,0;1;3;0,82;2142,0;11400,0;7862,0;4082,36;3,0;11,0;8,0;3,0;-1,9;15,71;7,53;100,0;0;0;2,3586;0,7862;1,14;51,93;44,34;14,73;7,48;51,93;0,7876;16665656000000,0;4082359,12
52;3;3;50;16,67;250,56;25056;25056;25056,0;7,67;8,43;497197;684,5;25;14;14,6;23,9;100,0;3;0;2,0;100,0;1;3;0,82;1890,0;13680,0;8352,0;4879,58;3,0;11,0;8,0;3,0;-2,02;15,68;7,57;100,0;0;0;2,5056;0,8352;1,368;58,42;44,34;14,77;7,48;58,42;0,7455;23810328000000,0;4879582,77
53;3;3;50;16,67;235,58;23558;23558;23558,0;7,67;8,46;514750;526,6;25;14;9,7;16,9;100,0;3;0;2,0;100,0;1;3;0,82;2268,0;12920,0;7852,67;4364,02;3,0;11,0;8,0;3,0;-1,89;15,65;7,5;100,0;0;0;2,3558;0,7853;1,292;55,57;44,34;14,8;7,48;55,57;0,764;19044667555555,56;4364019,66
54;3;3;50;16,67;235,86;23586;23586;23586,0;7,67;8,44;522073;551,2;25;14;9,5;16,8;100,0;3;0;2,0;100,0;1;3;0,82;2142,0;11400,0;7862,0;4082,36;3,0;11,0;8,0;3,0;-1,91;15,64;7,5;100,0;0;0;2,3586;0,7862;1,14;51,93;44,34;14,87;7,48;51,93;0,7876;16665656000000,0;4082359,12
55;3;3;50;16,67;250,56;25056;25056;25056,0;7,67;8,44;534953;616,2;25;14;20,5;25,1;100,0;3;0;2,0;100,0;1;3;0,82;1890,0;13680,0;8352,0;4879,58;3,0;11,0;8,0;3,0;-1,91;15,65;7,5;100,0;0;0;2,5056;0,8352;1,368;58,42;44,34;15,03;7,48;58,42;0,7455;23810328000000,0;4879582,77
56;3;3;50;16,67;235,58;23558;23558;23558,0;7,67;8,39;542053;549,0;25;14;11,4;20,2;100,0;3;0;2,0;100,0;1;3;0,82;2268,0;12920,0;7852,67;4364,02;3,0;11,0;8,0;3,0;-1,91;15,56;7,47;100,0;0;0;2,3558;0,7853;1,292;55,57;44,34;14,99;7,48;55,57;0,764;19044667555555,56;4364019,66
57;3;3;50;16,67;235,86;23586;23586;23586,0;7,67;8,39;552310;521,4;25;14;9,1;14,7;100,0;3;0;2,0;100,0;1;3;0,82;2142,0;11400,0;7862,0;4082,36;3,0;11,0;8,0;3,0;-1,95;15,55;7,48;100,0;0;0;2,3586;0,7862;1,14;51,93;44,34;14,71;7,48;51,93;0,7876;16665656000000,0;4082359,12
58;3;3;50;16,67;250,56;25056;25056;25056,0;7,67;8,4;562864;517,8;25;14;9,1;14,3;100,0;3;0;2,0;100,0;1;3;0,82;1890,0;13680,0;8352,0;4879,58;3,0;11,0;8,0;3,0;-1,94;15,58;7,49;100,0;0;0;2,5056;0,8352;1,368;58,42;44,34;14,8;7,48;58,42;0,7455;23810328000000,0;4879582,77
59;3;3;50;16,67;235,58;23558;23558;23558,0;7,67;8,39;570063;555,4;25;14;10,8;19,3;100,0;3;0;2,0;100,0;1;3;0,82;2268,0;12920,0;7852,67;4364,02;3,0;11,0;8,0;3,0;-2,05;15,69;7,58;100,0;0;0;2,3558;0,7853;1,292;55,57;44,34;15,25;7,48;55,57;0,764;19044667555555,56;4364019,66
60;3;3;50;16,67;235,86;23586;23586;23586,0;7,67;8,42;579259;663,6;25;14;14,1;27,4;100,0;3;0;2,0;100,0;1;3;0,82;2142,0;11400,0;7862,0;4082,36;3,0;11,0;8,0;3,0;-2,05;15,65;7,58;100,0;0;0;2,3586;0,7862;1,14;51,93;44,34;14,68;7,48;51,93;0,7876;16665656000000,0;4082359,12
61;3;3;50;16,67;250,56;25056;25056;25056,0;7,67;8,41;588814;532,7;25;14;9,0;15,8;100,0;3;0;2,0;100,0;1;3;0,82;1890,0;13680,0;8352,0;4879,58;3,0;11,0;8,0;3,0;-2,12;15,64;7,61;100,0;0;0;2,5056;0,8352;1,368;58,42;44,34;14,44;7,48;58,42;0,7455;23810328000000,0;4879582,77
62;3;3;50;16,67;235,58;23558;23558;23558,0;7,67;8,38;598626;744,6;25;14;15,0;26,7;100,0;3;0;2,0;100,0;1;3;0,82;2268,0;12920,0;7852,67;4364,02;3,0;11,0;8,0;3,0;-2,12;15,56;7,59;100,0;0;0;2,3558;0,7853;1,292;55,57;44,34;14,13;7,48;55,57;0,764;19044667555555,56;4364019,66
