TTI,UE_ID,Num_RBs,RBs,Num_CCE,Tx_Bits,Buffer_Size,Wideband CQI,Subband CQI,SINR
33,3,18,"[0, 1, 2, 9, 10, 11, 18, 19, 20, 27, 28, 29, 36, 37, 38, 45, 46, 47]",4,12096,14456,8,"[4, 2, 6, 5, 9, 8, 10, 6, 7, 11, 9, 2, 9, 10, 10, 10, 12]",8.2087
34,1,0,0,0,0,0,12,"[13, 10, 15, 14, 12, 15, 14, 11, 13, 9, 11, 12, 10, 10, 12, 13, 12]",18.1476
34,2,26,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38, 42, 43, 44, 48, 49]",8,8736,31440,4,"[1, 4, 4, 3, 2, 6, 5, 4, 5, 5, 5, 4, 5, 5, 6, 3, 4]",0.5664
34,3,24,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29, 33, 34, 35, 39, 40, 41, 45, 46, 47]",4,16128,5560,8,"[3, 2, 6, 5, 9, 8, 10, 6, 7, 11, 9, 3, 9, 10, 10, 10, 12]",8.3719
35,1,0,0,0,0,0,12,"[13, 10, 15, 15, 12, 15, 14, 11, 13, 9, 12, 12, 10, 10, 12, 13, 12]",18.4472
35,2,24,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29, 33, 34, 35, 39, 40, 41, 45, 46, 47]",8,8064,23376,4,"[1, 4, 5, 4, 2, 5, 5, 5, 5, 5, 5, 4, 5, 5, 6, 2, 4]",0.7755
35,3,9,"[0, 1, 2, 6, 7, 8, 12, 13, 14]",4,5560,0,8,"[2, 1, 7, 5, 9, 8, 10, 6, 7, 11, 9, 4, 9, 10, 10, 10, 12]",8.2496
36,1,9,"[0, 1, 2, 6, 7, 8, 12, 13, 14]",2,6104,0,12,"[14, 11, 15, 15, 12, 15, 15, 11, 13, 9, 12, 13, 10, 11, 12, 13, 12]",18.7013
36,2,24,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29, 33, 34, 35, 39, 40, 41, 45, 46, 47]",8,8064,15312,4,"[1, 4, 5, 4, 2, 5, 5, 5, 5, 4, 5, 3, 4, 5, 5, 1, 3]",0.4758
36,3,0,0,0,0,0,8,"[1, 1, 7, 5, 9, 9, 10, 6, 6, 11, 9, 5, 10, 10, 10, 10, 12]",8.3148
37,1,9,"[0, 1, 2, 9, 10, 11, 18, 19, 20]",1,6424,0,13,"[14, 11, 15, 15, 12, 15, 15, 11, 12, 9, 12, 13, 10, 11, 12, 14, 12]",18.9543
37,2,17,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32, 39, 40, 41, 48, 49]",8,5712,9600,3,"[1, 3, 5, 4, 2, 4, 5, 4, 4, 3, 4, 1, 3, 5, 5, 1, 3]",-0.9205
37,3,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",4,10080,13056,8,"[2, 1, 7, 5, 9, 9, 10, 6, 6, 11, 9, 5, 10, 10, 10, 10, 12]",8.5602
38,1,15,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32, 39, 40, 41]",1,12720,0,13,"[14, 11, 15, 15, 12, 15, 15, 11, 12, 9, 12, 13, 11, 11, 13, 14, 13]",19.1417
38,2,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",8,5040,4560,2,"[1, 3, 4, 4, 1, 3, 3, 3, 2, 2, 2, 1, 2, 4, 3, 1, 2]",-3.6287
38,3,18,"[0, 1, 2, 9, 10, 11, 18, 19, 20, 27, 28, 29, 36, 37, 38, 45, 46, 47]",4,12096,12408,8,"[3, 2, 8, 6, 9, 9, 10, 7, 6, 11, 9, 5, 10, 10, 10, 10, 11]",8.913
39,1,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",1,12824,0,13,"[14, 11, 15, 15, 12, 15, 15, 11, 12, 9, 12, 13, 11, 12, 13, 14, 13]",19.3099
39,2,15,"[0, 1, 2, 9, 10, 11, 18, 19, 20, 27, 28, 29, 36, 37, 38]",8,4560,0,1,"[1, 3, 4, 4, 1, 1, 1, 2, 1, 1, 1, 1, 2, 3, 1, 1, 2]",-5.4732
39,3,17,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32, 39, 40, 41, 48, 49]",4,11424,984,8,"[2, 3, 8, 6, 9, 9, 10, 7, 6, 11, 9, 6, 10, 10, 10, 10, 11]",9.2173
40,1,6,"[0, 1, 2, 9, 10, 11]",1,5792,0,13,"[14, 11, 15, 15, 12, 15, 15, 11, 12, 9, 12, 14, 11, 12, 13, 14, 13]",19.6394
40,2,17,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32, 39, 40, 41, 48, 49]",8,5712,4936,1,"[1, 3, 3, 4, 1, 1, 1, 1, 1, 1, 1, 3, 4, 2, 1, 3, 3]",-6.1183
40,3,3,"[6, 7, 8]",4,984,0,8,"[2, 4, 8, 6, 9, 9, 10, 7, 6, 11, 9, 6, 10, 10, 10, 10, 11]",9.3228
41,1,9,"[3, 4, 5, 12, 13, 14, 21, 22, 23]",1,6424,0,13,"[14, 11, 15, 15, 12, 15, 15, 11, 12, 9, 13, 14, 11, 12, 13, 14, 13]",19.7857
41,2,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",8,4936,0,2,"[1, 2, 3, 4, 1, 3, 1, 1, 2, 2, 2, 5, 5, 2, 2, 4, 4]",-3.3105
41,3,6,"[0, 1, 2, 9, 10, 11]",4,2432,0,8,"[2, 5, 8, 6, 9, 9, 10, 8, 5, 11, 9, 6, 10, 9, 10, 10, 11]",9.4856
